% time	cellId	IMSI	RNTI	frame	sframe	scPrdStartFr	scPrdStartSf	resPscch	sizeTb	pscchRbLen	pscchStartRb	hopping	hoppingInfo	psschRbLen	psschStartRb	iTrp	mcs	l1GroupDstId	dropped
3038	0	1	1	305	3	305	1	26	6	1	3	0	255	42	3	0	3	255	0
3042	0	1	1	305	7	305	1	26	6	1	31	0	255	42	3	0	3	255	0
3117	0	1	1	313	2	313	1	169	6	1	21	0	255	42	3	0	3	255	0
3118	0	1	1	313	3	313	1	169	6	1	49	0	255	42	3	0	3	255	0
3241	0	1	1	325	6	325	1	117	6	1	14	0	255	42	6	0	3	255	0
3242	0	1	1	325	7	325	1	117	6	1	42	0	255	42	6	0	3	255	0
3320	0	1	1	333	5	333	1	95	6	1	39	0	255	42	6	0	3	255	0
3323	0	1	1	333	8	333	1	95	6	1	11	0	255	42	6	0	3	255	0
3438	0	1	1	345	3	345	1	138	6	1	17	0	255	42	1	0	3	255	0
3442	0	1	1	345	7	345	1	138	6	1	45	0	255	42	1	0	3	255	0
3519	0	1	1	353	4	353	1	171	6	1	21	0	255	42	6	0	3	255	0
3520	0	1	1	353	5	353	1	171	6	1	49	0	255	42	6	0	3	255	0
3637	0	1	1	365	2	365	1	92	6	1	39	0	255	42	7	0	3	255	0
3640	0	1	1	365	5	365	1	92	6	1	11	0	255	42	7	0	3	255	0
3719	0	1	1	373	4	373	1	131	6	1	16	0	255	42	4	0	3	255	0
3722	0	1	1	373	7	373	1	131	6	1	44	0	255	42	4	0	3	255	0
3839	0	1	1	385	4	385	1	75	6	1	9	0	255	42	6	0	3	255	0
3842	0	1	1	385	7	385	1	75	6	1	37	0	255	42	6	0	3	255	0
3916	0	1	1	393	1	393	1	140	6	1	45	0	255	42	6	0	3	255	0
3920	0	1	1	393	5	393	1	140	6	1	17	0	255	42	6	0	3	255	0
4039	0	1	1	405	4	405	1	171	6	1	21	0	255	42	1	0	3	255	0
4040	0	1	1	405	5	405	1	171	6	1	49	0	255	42	1	0	3	255	0
4116	0	1	1	413	1	413	1	21	6	1	30	0	255	42	8	0	3	255	0
4121	0	1	1	413	6	413	1	21	6	1	2	0	255	42	8	0	3	255	0
4236	0	1	1	425	1	425	1	35	6	1	32	0	255	42	4	0	3	255	0
4239	0	1	1	425	4	425	1	35	6	1	4	0	255	42	4	0	3	255	0
4321	0	1	1	433	6	433	1	125	6	1	15	0	255	42	6	0	3	255	0
4323	0	1	1	433	8	433	1	125	6	1	43	0	255	42	6	0	3	255	0
4442	0	1	1	445	7	445	1	55	6	1	34	0	255	42	0	0	3	255	0
4443	0	1	1	445	8	445	1	55	6	1	6	0	255	42	0	0	3	255	0
4518	0	1	1	453	3	453	1	26	6	1	3	0	255	42	6	0	3	255	0
4522	0	1	1	453	7	453	1	26	6	1	31	0	255	42	6	0	3	255	0
4640	0	1	1	465	5	465	1	53	6	1	34	0	255	42	5	0	3	255	0
4641	0	1	1	465	6	465	1	53	6	1	6	0	255	42	5	0	3	255	0
4718	0	1	1	473	3	473	1	170	6	1	21	0	255	42	2	0	3	255	0
4719	0	1	1	473	4	473	1	170	6	1	49	0	255	42	2	0	3	255	0
4836	0	1	1	485	1	485	1	49	6	1	34	0	255	42	8	0	3	255	0
4837	0	1	1	485	2	485	1	49	6	1	6	0	255	42	8	0	3	255	0
4917	0	1	1	493	2	493	1	129	6	1	16	0	255	42	6	0	3	255	0
4920	0	1	1	493	5	493	1	129	6	1	44	0	255	42	6	0	3	255	0
