% time	cellId	IMSI	RNTI	resPscch	sizeTb	hopping	hoppingInfo	psschRbLen	psschStartRb	iTrp	mcs	l1GroupDstId	correct
3042	0	2	1	26	6	0	255	42	3	0	3	255	1
3046	0	2	1	26	6	0	255	42	3	0	3	255	1
3121	0	2	1	169	6	0	255	42	3	0	3	255	1
3122	0	2	1	169	6	0	255	42	3	0	3	255	1
3245	0	2	1	117	6	0	255	42	6	0	3	255	1
3246	0	2	1	117	6	0	255	42	6	0	3	255	1
3324	0	2	1	95	6	0	255	42	6	0	3	255	1
3327	0	2	1	95	6	0	255	42	6	0	3	255	1
3442	0	2	1	138	6	0	255	42	1	0	3	255	1
3446	0	2	1	138	6	0	255	42	1	0	3	255	1
3523	0	2	1	171	6	0	255	42	6	0	3	255	1
3524	0	2	1	171	6	0	255	42	6	0	3	255	1
3641	0	2	1	92	6	0	255	42	7	0	3	255	1
3644	0	2	1	92	6	0	255	42	7	0	3	255	1
3723	0	2	1	131	6	0	255	42	4	0	3	255	1
3726	0	2	1	131	6	0	255	42	4	0	3	255	1
3843	0	2	1	75	6	0	255	42	6	0	3	255	1
3846	0	2	1	75	6	0	255	42	6	0	3	255	1
3920	0	2	1	140	6	0	255	42	6	0	3	255	1
3924	0	2	1	140	6	0	255	42	6	0	3	255	1
4043	0	2	1	171	6	0	255	42	1	0	3	255	1
4044	0	2	1	171	6	0	255	42	1	0	3	255	1
4120	0	2	1	21	6	0	255	42	8	0	3	255	1
4125	0	2	1	21	6	0	255	42	8	0	3	255	1
4240	0	2	1	35	6	0	255	42	4	0	3	255	1
4243	0	2	1	35	6	0	255	42	4	0	3	255	1
4325	0	2	1	125	6	0	255	42	6	0	3	255	1
4327	0	2	1	125	6	0	255	42	6	0	3	255	1
4446	0	2	1	55	6	0	255	42	0	0	3	255	1
4447	0	2	1	55	6	0	255	42	0	0	3	255	1
4522	0	2	1	26	6	0	255	42	6	0	3	255	1
4526	0	2	1	26	6	0	255	42	6	0	3	255	1
4644	0	2	1	53	6	0	255	42	5	0	3	255	1
4645	0	2	1	53	6	0	255	42	5	0	3	255	1
4722	0	2	1	170	6	0	255	42	2	0	3	255	1
4723	0	2	1	170	6	0	255	42	2	0	3	255	1
4840	0	2	1	49	6	0	255	42	8	0	3	255	1
4841	0	2	1	49	6	0	255	42	8	0	3	255	1
4921	0	2	1	129	6	0	255	42	6	0	3	255	1
4924	0	2	1	129	6	0	255	42	6	0	3	255	1
