% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	avrgSinrPerRb
3048	0	2	1	0	3	309	0	1	1	12321.9
3056	0	2	1	0	3	309	1	0	1	12321.9
3064	0	2	1	0	3	309	2	0	1	12321.9
3072	0	2	1	0	3	309	3	0	1	12321.9
3128	0	2	1	0	3	309	0	1	1	12321.9
3136	0	2	1	0	3	309	1	0	1	12321.9
3144	0	2	1	0	3	309	2	0	1	12321.9
3152	0	2	1	0	3	309	3	0	1	12321.9
3248	0	2	1	0	3	309	0	1	1	12321.9
3256	0	2	1	0	3	309	1	0	1	12321.9
3264	0	2	1	0	3	309	2	0	1	12321.9
3272	0	2	1	0	3	309	3	0	1	12321.9
3328	0	2	1	0	3	309	0	1	1	12321.9
3336	0	2	1	0	3	309	1	0	1	12321.9
3344	0	2	1	0	3	309	2	0	1	12321.9
3352	0	2	1	0	3	309	3	0	1	12321.9
3448	0	2	1	0	3	309	0	1	1	12321.9
3456	0	2	1	0	3	309	1	0	1	12321.9
3464	0	2	1	0	3	309	2	0	1	12321.9
3472	0	2	1	0	3	309	3	0	1	12321.9
3528	0	2	1	0	3	309	0	1	1	12321.9
3536	0	2	1	0	3	309	1	0	1	12321.9
3544	0	2	1	0	3	309	2	0	1	12321.9
3552	0	2	1	0	3	309	3	0	1	12321.9
3648	0	2	1	0	3	309	0	1	1	12321.9
3656	0	2	1	0	3	309	1	0	1	12321.9
3664	0	2	1	0	3	309	2	0	1	12321.9
3672	0	2	1	0	3	309	3	0	1	12321.9
3728	0	2	1	0	3	309	0	1	1	12321.9
3736	0	2	1	0	3	309	1	0	1	12321.9
3744	0	2	1	0	3	309	2	0	1	12321.9
3752	0	2	1	0	3	309	3	0	1	12321.9
3848	0	2	1	0	3	309	0	1	1	12321.9
3856	0	2	1	0	3	309	1	0	1	12321.9
3864	0	2	1	0	3	309	2	0	1	12321.9
3872	0	2	1	0	3	309	3	0	1	12321.9
3928	0	2	1	0	3	309	0	1	1	12321.9
3936	0	2	1	0	3	309	1	0	1	12321.9
3944	0	2	1	0	3	309	2	0	1	12321.9
3952	0	2	1	0	3	309	3	0	1	12321.9
4048	0	2	1	0	3	309	0	1	1	12321.9
4056	0	2	1	0	3	309	1	0	1	12321.9
4064	0	2	1	0	3	309	2	0	1	12321.9
4072	0	2	1	0	3	309	3	0	1	12321.9
4128	0	2	1	0	3	309	0	1	1	12321.9
4136	0	2	1	0	3	309	1	0	1	12321.9
4144	0	2	1	0	3	309	2	0	1	12321.9
4152	0	2	1	0	3	309	3	0	1	12321.9
4248	0	2	1	0	3	309	0	1	1	12321.9
4256	0	2	1	0	3	309	1	0	1	12321.9
4264	0	2	1	0	3	309	2	0	1	12321.9
4272	0	2	1	0	3	309	3	0	1	12321.9
4328	0	2	1	0	3	309	0	1	1	12321.9
4336	0	2	1	0	3	309	1	0	1	12321.9
4344	0	2	1	0	3	309	2	0	1	12321.9
4352	0	2	1	0	3	309	3	0	1	12321.9
4448	0	2	1	0	3	309	0	1	1	12321.9
4456	0	2	1	0	3	309	1	0	1	12321.9
4464	0	2	1	0	3	309	2	0	1	12321.9
4472	0	2	1	0	3	309	3	0	1	12321.9
4528	0	2	1	0	3	309	0	1	1	12321.9
4536	0	2	1	0	3	309	1	0	1	12321.9
4544	0	2	1	0	3	309	2	0	1	12321.9
4552	0	2	1	0	3	309	3	0	1	12321.9
4648	0	2	1	0	3	309	0	1	1	12321.9
4656	0	2	1	0	3	309	1	0	1	12321.9
4664	0	2	1	0	3	309	2	0	1	12321.9
4672	0	2	1	0	3	309	3	0	1	12321.9
4728	0	2	1	0	3	309	0	1	1	12321.9
4736	0	2	1	0	3	309	1	0	1	12321.9
4744	0	2	1	0	3	309	2	0	1	12321.9
4752	0	2	1	0	3	309	3	0	1	12321.9
4848	0	2	1	0	3	309	0	1	1	12321.9
4856	0	2	1	0	3	309	1	0	1	12321.9
4864	0	2	1	0	3	309	2	0	1	12321.9
4872	0	2	1	0	3	309	3	0	1	12321.9
4928	0	2	1	0	3	309	0	1	1	12321.9
4936	0	2	1	0	3	309	1	0	1	12321.9
4944	0	2	1	0	3	309	2	0	1	12321.9
4952	0	2	1	0	3	309	3	0	1	12321.9
