% time	cellId	IMSI	RNTI	currFr	currSf	scPrdStartFr	scPrdStartSf	psschRbLen	psschStartRb	mcs	sizeTb	rv	dropped
3044	0	1	1	305	9	305	1	42	3	3	309	0	0
3052	0	1	1	306	7	305	1	42	3	3	309	1	0
3060	0	1	1	307	5	305	1	42	3	3	309	2	0
3068	0	1	1	308	3	305	1	42	3	3	309	3	0
3124	0	1	1	313	9	313	1	42	3	3	309	0	0
3132	0	1	1	314	7	313	1	42	3	3	309	1	0
3140	0	1	1	315	5	313	1	42	3	3	309	2	0
3148	0	1	1	316	3	313	1	42	3	3	309	3	0
3244	0	1	1	325	9	325	1	42	6	3	309	0	0
3252	0	1	1	326	7	325	1	42	6	3	309	1	0
3260	0	1	1	327	5	325	1	42	6	3	309	2	0
3268	0	1	1	328	3	325	1	42	6	3	309	3	0
3324	0	1	1	333	9	333	1	42	6	3	309	0	0
3332	0	1	1	334	7	333	1	42	6	3	309	1	0
3340	0	1	1	335	5	333	1	42	6	3	309	2	0
3348	0	1	1	336	3	333	1	42	6	3	309	3	0
3444	0	1	1	345	9	345	1	42	1	3	309	0	0
3452	0	1	1	346	7	345	1	42	1	3	309	1	0
3460	0	1	1	347	5	345	1	42	1	3	309	2	0
3468	0	1	1	348	3	345	1	42	1	3	309	3	0
3524	0	1	1	353	9	353	1	42	6	3	309	0	0
3532	0	1	1	354	7	353	1	42	6	3	309	1	0
3540	0	1	1	355	5	353	1	42	6	3	309	2	0
3548	0	1	1	356	3	353	1	42	6	3	309	3	0
3644	0	1	1	365	9	365	1	42	7	3	309	0	0
3652	0	1	1	366	7	365	1	42	7	3	309	1	0
3660	0	1	1	367	5	365	1	42	7	3	309	2	0
3668	0	1	1	368	3	365	1	42	7	3	309	3	0
3724	0	1	1	373	9	373	1	42	4	3	309	0	0
3732	0	1	1	374	7	373	1	42	4	3	309	1	0
3740	0	1	1	375	5	373	1	42	4	3	309	2	0
3748	0	1	1	376	3	373	1	42	4	3	309	3	0
3844	0	1	1	385	9	385	1	42	6	3	309	0	0
3852	0	1	1	386	7	385	1	42	6	3	309	1	0
3860	0	1	1	387	5	385	1	42	6	3	309	2	0
3868	0	1	1	388	3	385	1	42	6	3	309	3	0
3924	0	1	1	393	9	393	1	42	6	3	309	0	0
3932	0	1	1	394	7	393	1	42	6	3	309	1	0
3940	0	1	1	395	5	393	1	42	6	3	309	2	0
3948	0	1	1	396	3	393	1	42	6	3	309	3	0
4044	0	1	1	405	9	405	1	42	1	3	309	0	0
4052	0	1	1	406	7	405	1	42	1	3	309	1	0
4060	0	1	1	407	5	405	1	42	1	3	309	2	0
4068	0	1	1	408	3	405	1	42	1	3	309	3	0
4124	0	1	1	413	9	413	1	42	8	3	309	0	0
4132	0	1	1	414	7	413	1	42	8	3	309	1	0
4140	0	1	1	415	5	413	1	42	8	3	309	2	0
4148	0	1	1	416	3	413	1	42	8	3	309	3	0
4244	0	1	1	425	9	425	1	42	4	3	309	0	0
4252	0	1	1	426	7	425	1	42	4	3	309	1	0
4260	0	1	1	427	5	425	1	42	4	3	309	2	0
4268	0	1	1	428	3	425	1	42	4	3	309	3	0
4324	0	1	1	433	9	433	1	42	6	3	309	0	0
4332	0	1	1	434	7	433	1	42	6	3	309	1	0
4340	0	1	1	435	5	433	1	42	6	3	309	2	0
4348	0	1	1	436	3	433	1	42	6	3	309	3	0
4444	0	1	1	445	9	445	1	42	0	3	309	0	0
4452	0	1	1	446	7	445	1	42	0	3	309	1	0
4460	0	1	1	447	5	445	1	42	0	3	309	2	0
4468	0	1	1	448	3	445	1	42	0	3	309	3	0
4524	0	1	1	453	9	453	1	42	6	3	309	0	0
4532	0	1	1	454	7	453	1	42	6	3	309	1	0
4540	0	1	1	455	5	453	1	42	6	3	309	2	0
4548	0	1	1	456	3	453	1	42	6	3	309	3	0
4644	0	1	1	465	9	465	1	42	5	3	309	0	0
4652	0	1	1	466	7	465	1	42	5	3	309	1	0
4660	0	1	1	467	5	465	1	42	5	3	309	2	0
4668	0	1	1	468	3	465	1	42	5	3	309	3	0
4724	0	1	1	473	9	473	1	42	2	3	309	0	0
4732	0	1	1	474	7	473	1	42	2	3	309	1	0
4740	0	1	1	475	5	473	1	42	2	3	309	2	0
4748	0	1	1	476	3	473	1	42	2	3	309	3	0
4844	0	1	1	485	9	485	1	42	8	3	309	0	0
4852	0	1	1	486	7	485	1	42	8	3	309	1	0
4860	0	1	1	487	5	485	1	42	8	3	309	2	0
4868	0	1	1	488	3	485	1	42	8	3	309	3	0
4924	0	1	1	493	9	493	1	42	6	3	309	0	0
4932	0	1	1	494	7	493	1	42	6	3	309	1	0
4940	0	1	1	495	5	493	1	42	6	3	309	2	0
4948	0	1	1	496	3	493	1	42	6	3	309	3	0
